"date","year","month","day","x.pos","y.pos","code","death","response"
"22/02/2000",2000,2,22,487500.000161284,-2067499.94328692,"Unk",1,1
"22/02/2000",2000,2,22,552499.998178278,-2122499.94194555,"Unk",1,1
"22/02/2000",2000,2,22,589952.665711591,-2135734.77031721,"Unk",0,0
"22/02/2000",2000,2,22,641502.576234021,-2119849.38764456,"Unk",0,0
"22/02/2000",2000,2,22,571541.983382152,-2078337.58575471,"Unk",0,0
"22/02/2000",2000,2,22,484174.927236994,-2143227.87535148,"Unk",0,0
"17/03/2000",2000,3,17,647499.993800141,-2137499.94190957,"ANS",1,1
"17/03/2000",2000,3,17,540411.193261463,-2089876.96750749,"ANS",0,0
"17/03/2000",2000,3,17,485513.885951863,-2129890.14839048,"ANS",0,0
"23/03/2000",2000,3,23,557499.997463933,-2042499.9439578,"DES",1,1
"23/03/2000",2000,3,23,731212.810130197,-2039823.02587857,"DES",0,0
"23/03/2000",2000,3,23,707446.292941285,-2107710.55748904,"DES",0,0
"25/03/2000",2000,3,25,607499.995610847,-2042499.94387319,"POA",1,1
"25/03/2000",2000,3,25,451705.178401438,-2145475.80686176,"POA",0,0
"25/03/2000",2000,3,25,516644.676072551,-2112955.73101303,"POA",0,0
"20/05/2000",2000,5,20,602499.995213179,-2122499.94260761,"DES",1,1
"20/05/2000",2000,5,20,580245.215028796,-2034727.71445527,"DES",0,0
"20/05/2000",2000,5,20,574889.380169322,-2078637.30995608,"DES",0,0
"07/06/2000",2000,6,7,687499.99206066,-2052499.94465101,"ANS",1,1
"07/06/2000",2000,6,7,691044.048684148,-2081934.27617116,"ANS",0,0
"07/06/2000",2000,6,7,653553.204667835,-2150870.84248643,"ANS",0,0
"24/06/2000",2000,6,24,617499.994707958,-2127499.94151339,"ANP",1,1
"24/06/2000",2000,6,24,725522.235592007,-2145026.2205597,"ANP",0,0
"24/06/2000",2000,6,24,684683.994788524,-2050762.95922861,"ANP",0,0
"11/08/2000",2000,8,11,707499.991206316,-2082499.94380847,"ANP",1,1
"11/08/2000",2000,8,11,581918.913422381,-2149372.22147958,"ANP",0,0
"11/08/2000",2000,8,11,612380.224185635,-2153568.36029877,"ANP",0,0
"21/09/2000",2000,9,21,687499.992614815,-2122499.9416224,"ANP",1,1
"21/09/2000",2000,9,21,440324.029325057,-2073841.72273415,"ANP",0,0
"21/09/2000",2000,9,21,613049.703543069,-2041921.09528817,"ANP",0,0
"05/10/2000",2000,10,5,722499.990598363,-2057499.94437942,"Unk",1,1
"05/10/2000",2000,10,5,740920.260812992,-2118650.49083908,"Unk",0,0
"05/10/2000",2000,10,5,499238.212779263,-2056907.30535671,"Unk",0,0
"10/10/2000",2000,10,10,502500.000344986,-2072499.94344109,"ANS",1,1
"10/10/2000",2000,10,10,544762.809084785,-2061702.89257864,"ANS",0,0
"10/10/2000",2000,10,10,471789.559124463,-2097370.07254175,"ANS",0,0
"11/10/2000",2000,10,11,722499.990598363,-2057499.94437942,"Unk",1,1
"11/10/2000",2000,10,11,707781.032620002,-2102015.797663,"Unk",0,0
"11/10/2000",2000,10,11,619075.017759976,-2052111.71813477,"Unk",0,0
"22/10/2000",2000,10,22,462500.001138906,-2087499.94332632,"DES",1,1
"22/10/2000",2000,10,22,701086.23904566,-2069645.58391496,"DES",0,0
"22/10/2000",2000,10,22,455387.314867326,-2057956.3400615,"DES",0,0
"25/10/2000",2000,10,25,452500.001760652,-2092499.94314912,"Unk",1,1
"25/10/2000",2000,10,25,456056.79422476,-2119549.66344319,"Unk",0,0
"25/10/2000",2000,10,25,424256.524746638,-2145176.08266039,"Unk",0,0
"06/11/2000",2000,11,6,487500.000774324,-2097499.94327656,"ANS",1,1
"06/11/2000",2000,11,6,499572.95245798,-2061253.30627658,"ANS",0,0
"06/11/2000",2000,11,6,712802.127800758,-2084781.65608418,"ANS",0,0
"10/11/2000",2000,11,10,457500.001489748,-2097499.94290239,"ANP",1,1
"10/11/2000",2000,11,10,681001.858322636,-2144426.77215696,"ANP",0,0
"10/11/2000",2000,11,10,671294.407639841,-2121797.59495347,"ANP",0,0
"23/11/2000",2000,11,23,532499.998448981,-2097499.94226546,"ANS",1,1
"23/11/2000",2000,11,23,469446.381373443,-2079986.06886225,"ANS",0,0
"23/11/2000",2000,11,23,660917.477599611,-2054359.64964505,"ANS",0,0
"15/12/2000",2000,12,15,447500.001947895,-2112499.94199906,"ANS",1,1
"15/12/2000",2000,12,15,688031.391575694,-2157165.05071522,"ANS",0,0
"15/12/2000",2000,12,15,416222.772457428,-2095272.00313216,"ANS",0,0
"19/12/2000",2000,12,19,537499.998794878,-2077499.94320197,"Unk",1,1
"19/12/2000",2000,12,19,466768.463943706,-2136484.08082063,"Unk",0,0
"19/12/2000",2000,12,19,477814.87334137,-2061403.16837727,"Unk",0,0
"09/01/2001",2001,1,9,707499.991127625,-2057499.94455454,"Unk",1,1
"09/01/2001",2001,1,9,602499.995249725,-2052499.94366753,"Unk",1,1
"09/01/2001",2001,1,9,661586.956957045,-2119100.07714113,"Unk",0,0
"09/01/2001",2001,1,9,501246.650851565,-2119699.52554387,"Unk",0,0
"09/01/2001",2001,1,9,545097.548763503,-2070394.89441839,"Unk",0,0
"09/01/2001",2001,1,9,669620.709246255,-2137083.52922338,"Unk",0,0
"16/01/2001",2001,1,16,457500.001678574,-2092499.94296839,"Unk",1,1
"16/01/2001",2001,1,16,524008.949004327,-2048814.7519197,"Unk",0,0
"16/01/2001",2001,1,16,680667.118643919,-2139930.9091364,"Unk",0,0
"18/01/2001",2001,1,18,597499.995642731,-2122499.94208369,"ANP",1,1
"18/01/2001",2001,1,18,564512.450129093,-2088528.20860132,"ANP",0,0
"18/01/2001",2001,1,18,624430.85261945,-2137533.11552543,"ANP",0,0
"23/01/2001",2001,1,23,687499.992614815,-2122499.9416224,"ANS",1,1
"23/01/2001",2001,1,23,521331.03157459,-2103964.00497191,"ANS",0,0
"23/01/2001",2001,1,23,649536.328523231,-2120598.69814799,"ANS",0,0
"26/02/2001",2001,2,26,702499.991298034,-2072499.94323547,"Unk",1,1
"26/02/2001",2001,2,26,621083.455832279,-2055708.40855122,"Unk",0,0
"26/02/2001",2001,2,26,470115.860730877,-2138881.8744316,"Unk",0,0
"10/03/2001",2001,3,10,692499.991735345,-2062499.94421473,"ANP",1,1
"10/03/2001",2001,3,10,475806.435269068,-2078787.17205677,"ANP",0,0
"10/03/2001",2001,3,10,559491.354948337,-2099767.86615272,"ANP",0,0
"23/03/2001",2001,3,23,712499.990645925,-2057499.94455497,"Unk",1,1
"23/03/2001",2001,3,23,477500.001308962,-2097499.94232533,"ANP",1,1
"23/03/2001",2001,3,23,527691.085470214,-2060803.71997453,"Unk",0,0
"23/03/2001",2001,3,23,696734.623222338,-2071144.20492182,"ANP",0,0
"23/03/2001",2001,3,23,438650.330931472,-2144127.04795559,"Unk",0,0
"23/03/2001",2001,3,23,622087.67486843,-2027084.74732032,"ANP",0,0
"27/06/2001",2001,6,27,707499.991206316,-2082499.94380847,"Unk",1,1
"27/06/2001",2001,6,27,461412.629084233,-2116252.69722811,"Unk",0,0
"27/06/2001",2001,6,27,615392.881294089,-2156565.60231247,"Unk",0,0
"02/07/2001",2001,7,2,707499.991033345,-2137499.94185671,"Unk",1,1
"02/07/2001",2001,7,2,486518.104988014,-2057356.89165876,"Unk",0,0
"02/07/2001",2001,7,2,718157.962660231,-2090926.00221228,"Unk",0,0
"15/07/2001",2001,7,15,692499.992343758,-2092499.94279163,"ANP",1,1
"15/07/2001",2001,7,15,464760.025871404,-2082533.7245739,"ANP",0,0
"15/07/2001",2001,7,15,485179.146273146,-2054809.23594711,"ANP",0,0
"30/07/2001",2001,7,30,702499.991906257,-2087499.94352307,"Unk",1,1
"30/07/2001",2001,7,30,609367.567077181,-2063051.65148481,"Unk",0,0
"30/07/2001",2001,7,30,648197.369808362,-2136633.94292132,"Unk",0,0
"17/08/2001",2001,8,17,697499.991906915,-2062499.94420429,"Unk",1,1
"17/08/2001",2001,8,17,573215.681775737,-2096171.17573627,"Unk",0,0
"17/08/2001",2001,8,17,722509.578483553,-2121497.8707521,"Unk",0,0
"20/08/2001",2001,8,20,722499.990598363,-2057499.94437942,"Unk",1,1
"20/08/2001",2001,8,20,502500.000344986,-2072499.94344109,"Unk",1,1
"20/08/2001",2001,8,20,472459.038481897,-2099618.00405204,"Unk",0,0
"20/08/2001",2001,8,20,542754.371012483,-2062602.06518275,"Unk",0,0
"20/08/2001",2001,8,20,631125.646193791,-2109508.90269727,"Unk",0,0
"20/08/2001",2001,8,20,481497.009807258,-2083582.7592787,"Unk",0,0
"03/10/2001",2001,10,3,707499.991206316,-2082499.94380847,"Unk",1,1
"03/10/2001",2001,10,3,510954.101534361,-2107410.83328767,"Unk",0,0
"03/10/2001",2001,10,3,567859.846916264,-2130040.01049116,"Unk",0,0
"06/10/2001",2001,10,6,707499.991127625,-2057499.94455454,"ANP",1,1
"06/10/2001",2001,10,6,565516.669165244,-2070994.34282113,"ANP",0,0
"06/10/2001",2001,10,6,701420.978724377,-2136783.80502201,"ANP",0,0
"09/11/2001",2001,11,9,672499.992272645,-2097499.94275972,"Unk",1,1
"09/11/2001",2001,11,9,711463.16908589,-2076838.96474786,"Unk",0,0
"09/11/2001",2001,11,9,612714.963864352,-2072193.23962661,"Unk",0,0
"19/11/2001",2001,11,19,672499.992272645,-2097499.94275972,"Unk",1,1
"19/11/2001",2001,11,19,426934.442176374,-2107560.69538836,"Unk",0,0
"19/11/2001",2001,11,19,440993.508682492,-2108160.1437911,"Unk",0,0
"22/11/2001",2001,11,22,487500.000161284,-2067499.94328692,"ANP",1,1
"22/11/2001",2001,11,22,582253.653101098,-2053010.89073889,"ANP",0,0
"22/11/2001",2001,11,22,439989.28964634,-2050313.37292655,"ANP",0,0
"06/01/2002",2002,1,6,697499.991906915,-2062499.94420429,"ANP",1,1
"06/01/2002",2002,1,6,552796.561373995,-2113255.4552144,"ANP",0,0
"06/01/2002",2002,1,6,706107.334226417,-2083432.89717802,"ANP",0,0
"20/01/2002",2002,1,20,622499.994914058,-2122499.94253423,"ANP",1,1
"20/01/2002",2002,1,20,622499.994914058,-2122499.94253423,"MIS",1,1
"20/01/2002",2002,1,20,699747.280330792,-2140830.08174051,"ANP",0,0
"20/01/2002",2002,1,20,691378.788362865,-2165557.3283536,"MIS",0,0
"20/01/2002",2002,1,20,518987.85382357,-2070245.0323177,"ANP",0,0
"20/01/2002",2002,1,20,447688.302256833,-2145325.94476107,"MIS",0,0
"28/01/2002",2002,1,28,692499.991312819,-2047499.94443274,"Unk",1,1
"28/01/2002",2002,1,28,464090.54651397,-2161511.05163509,"Unk",0,0
"28/01/2002",2002,1,28,526017.387076629,-2057207.02955808,"Unk",0,0
"14/04/2002",2002,4,14,597499.995730044,-2127499.94241077,"ANP",1,1
"14/04/2002",2002,4,14,650205.807880665,-2130789.32099459,"ANP",0,0
"14/04/2002",2002,4,14,600329.59575182,-2039223.57747583,"ANP",0,0
"28/04/2002",2002,4,28,702499.991298034,-2072499.94323547,"ANS",1,1
"28/04/2002",2002,4,28,539741.713904029,-2102165.65976369,"ANS",0,0
"28/04/2002",2002,4,28,573885.161133171,-2111906.69630824,"ANS",0,0
"20/05/2002",2002,5,20,722499.990598363,-2057499.94437942,"Unk",1,1
"20/05/2002",2002,5,20,587944.227639288,-2082084.13827185,"Unk",0,0
"20/05/2002",2002,5,20,558487.135912186,-2032929.36924705,"Unk",0,0
"16/07/2002",2002,7,16,552499.997569785,-2072499.94345875,"LPS",1,1
"16/07/2002",2002,7,16,437646.111895321,-2118200.90453702,"LPS",0,0
"16/07/2002",2002,7,16,445679.864184531,-2075640.06794238,"LPS",0,0
"19/07/2002",2002,7,19,707499.991127625,-2057499.94455454,"Unk",1,1
"19/07/2002",2002,7,19,707499.991127625,-2057499.94455454,"Unk",1,1
"19/07/2002",2002,7,19,449027.260971701,-2046866.54461079,"Unk",0,0
"19/07/2002",2002,7,19,703094.677117963,-2134236.14931035,"Unk",0,0
"19/07/2002",2002,7,19,737907.603704539,-2126143.59587334,"Unk",0,0
"19/07/2002",2002,7,19,476141.174947785,-2063201.51358549,"Unk",0,0
"09/08/2002",2002,8,9,672499.992272645,-2097499.94275972,"Unk",1,1
"09/08/2002",2002,8,9,688366.131254412,-2111007.52370412,"Unk",0,0
"09/08/2002",2002,8,9,715480.045230495,-2089277.51910475,"Unk",0,0
"26/08/2002",2002,8,26,722499.990598363,-2057499.94437942,"Unk",1,1
"26/08/2002",2002,8,26,463421.067156536,-2128841.11368568,"Unk",0,0
"26/08/2002",2002,8,26,527356.345791497,-2112805.86891235,"Unk",0,0
"05/09/2002",2002,9,5,717499.990225319,-2052499.94422309,"Unk",1,1
"05/09/2002",2002,9,5,717499.990225319,-2052499.94422309,"Unk",1,1
"05/09/2002",2002,9,5,578906.256313927,-2084182.20768144,"Unk",0,0
"05/09/2002",2002,9,5,703429.41679668,-2139331.46073366,"Unk",0,0
"05/09/2002",2002,9,5,695730.404186187,-2071294.0670225,"Unk",0,0
"05/09/2002",2002,9,5,415888.032778711,-2111307.24790549,"Unk",0,0
"06/09/2002",2002,9,6,617499.994539607,-2057499.94348962,"OA",1,1
"06/09/2002",2002,9,6,514301.498321531,-2108609.73009316,"OA",0,0
"06/09/2002",2002,9,6,518653.114144853,-2046416.95830873,"OA",0,0
"13/09/2002",2002,9,13,527499.999336212,-2057499.94450401,"Unk",1,1
"13/09/2002",2002,9,13,462751.587799102,-2068446.68710948,"Unk",0,0
"13/09/2002",2002,9,13,670290.188603689,-2122397.04335621,"Unk",0,0
"24/09/2002",2002,9,24,642499.994268863,-2117499.94215905,"ANP",1,1
"24/09/2002",2002,9,24,556478.697839883,-2053460.47704094,"ANP",0,0
"24/09/2002",2002,9,24,549449.164586824,-2123296.21596032,"ANP",0,0
"27/09/2002",2002,9,27,657499.993014921,-2112499.94207538,"Unk",1,1
"27/09/2002",2002,9,27,481162.270128541,-2128241.66528294,"Unk",0,0
"27/09/2002",2002,9,27,694391.445471319,-2161960.63793715,"Unk",0,0
"02/10/2002",2002,10,2,707499.991206316,-2082499.94380847,"Unk",1,1
"02/10/2002",2002,10,2,537398.53615301,-2129140.83788705,"Unk",0,0
"02/10/2002",2002,10,2,540745.932940181,-2128691.251585,"Unk",0,0
"09/10/2002",2002,10,9,717499.991072031,-2047499.94475659,"Unk",1,1
"09/10/2002",2002,10,9,728869.632379178,-2109359.04059658,"Unk",0,0
"09/10/2002",2002,10,9,631795.125551225,-2027983.91992443,"Unk",0,0
"10/10/2002",2002,10,10,707499.991127625,-2057499.94455454,"Unk",1,1
"10/10/2002",2002,10,10,568864.065952415,-2051811.9939334,"Unk",0,0
"10/10/2002",2002,10,10,453378.876795023,-2151320.42878849,"Unk",0,0
"20/10/2002",2002,10,20,697499.991906915,-2062499.94420429,"Unk",1,1
"20/10/2002",2002,10,20,420909.127959467,-2121647.73285278,"Unk",0,0
"20/10/2002",2002,10,20,714141.086515626,-2083133.17297664,"Unk",0,0
"24/10/2002",2002,10,24,537499.998794878,-2077499.94320197,"OA",1,1
"24/10/2002",2002,10,24,529364.7838638,-2068146.96290811,"OA",0,0
"24/10/2002",2002,10,24,550118.643944259,-2092124.89901777,"OA",0,0
"29/10/2002",2002,10,29,712499.991099651,-2077499.94330402,"Unk",1,1
"29/10/2002",2002,10,29,531707.961614819,-2042970.12999297,"Unk",0,0
"29/10/2002",2002,10,29,634473.042980962,-2150571.11828506,"Unk",0,0
"25/11/2002",2002,11,25,607499.995106528,-2117499.94171113,"STR",1,1
"25/11/2002",2002,11,25,516309.936393834,-2115653.24882537,"STR",0,0
"25/11/2002",2002,11,25,584931.570530835,-2096770.62413901,"STR",0,0
"04/12/2002",2002,12,4,462500.001138906,-2087499.94332632,"Unk",1,1
"04/12/2002",2002,12,4,524343.688683044,-2077438.4131506,"Unk",0,0
"04/12/2002",2002,12,4,585601.049888269,-2064100.6861896,"Unk",0,0
"11/12/2002",2002,12,11,592499.996218141,-2122499.94219322,"ANP",1,1
"11/12/2002",2002,12,11,608698.087719747,-2120448.8360473,"ANP",0,0
"11/12/2002",2002,12,11,742259.219527861,-2048065.44141627,"ANP",0,0
"30/12/2002",2002,12,30,707499.991127625,-2057499.94455454,"Unk",1,1
"30/12/2002",2002,12,30,662256.436314479,-2147723.73837204,"Unk",0,0
"30/12/2002",2002,12,30,483840.187558277,-2118350.76663771,"Unk",0,0
"06/02/2003",2003,2,6,432500.003351493,-2107499.94212578,"Unk",1,1
"06/02/2003",2003,2,6,567525.107237547,-2078187.72365403,"Unk",0,0
"06/02/2003",2003,2,6,705437.854868982,-2093923.24422599,"Unk",0,0
"12/02/2003",2003,2,12,447500.002662182,-2137499.94141525,"Unk",1,1
"12/02/2003",2003,2,12,446684.083220682,-2158813.53382275,"Unk",0,0
"12/02/2003",2003,2,12,563842.970771659,-2105312.76387808,"Unk",0,0
"23/07/2003",2003,7,23,592499.996502716,-2117499.94174504,"Unk",1,1
"23/07/2003",2003,7,23,689035.610611846,-2142028.97854599,"Unk",0,0
"23/07/2003",2003,7,23,698408.321615924,-2132737.5283035,"Unk",0,0
"02/08/2003",2003,8,2,702499.991468827,-2082499.94285013,"Unk",1,1
"02/08/2003",2003,8,2,556813.4375186,-2142778.28904942,"Unk",0,0
"02/08/2003",2003,8,2,528360.564827649,-2069046.13551222,"Unk",0,0
"08/08/2003",2003,8,8,447500.002662182,-2137499.94141525,"MIS",1,1
"08/08/2003",2003,8,8,485848.62563058,-2088078.62229926,"MIS",0,0
"08/08/2003",2003,8,8,687027.172539543,-2156116.01601042,"MIS",0,0
"20/08/2003",2003,8,20,642499.994495513,-2107499.9423409,"LPS",1,1
"20/08/2003",2003,8,20,503255.088923868,-2056457.71905465,"LPS",0,0
"20/08/2003",2003,8,20,687696.651896977,-2167355.67356182,"LPS",0,0
"09/09/2003",2003,9,9,567499.997453508,-2112499.94203054,"Unk",1,1
"09/09/2003",2003,9,9,532499.998448981,-2097499.94226546,"Unk",1,1
"09/09/2003",2003,9,9,532499.998448981,-2097499.94226546,"Unk",1,1
"09/09/2003",2003,9,9,416557.512136145,-2113854.90361715,"Unk",0,0
"09/09/2003",2003,9,9,735899.165632236,-2119999.24974525,"Unk",0,0
"09/09/2003",2003,9,9,732886.508523783,-2065899.03139783,"Unk",0,0
"09/09/2003",2003,9,9,594639.02121363,-2067697.37660605,"Unk",0,0
"09/09/2003",2003,9,9,726191.714949441,-2045068.19940256,"Unk",0,0
"09/09/2003",2003,9,9,697738.84225849,-2132587.66620282,"Unk",0,0
"10/09/2003",2003,9,10,652499.993061995,-2107499.94260264,"Unk",1,1
"10/09/2003",2003,9,10,707499.991206316,-2082499.94380847,"Unk",1,1
"10/09/2003",2003,9,10,502500.000120887,-2092499.94326605,"Unk",1,1
"10/09/2003",2003,9,10,507500.000163891,-2092499.94285343,"Unk",1,1
"10/09/2003",2003,9,10,567499.997657339,-2077499.94362541,"Unk",1,1
"10/09/2003",2003,9,10,627499.994903249,-2122499.94257308,"Unk",1,1
"10/09/2003",2003,9,10,532499.998448981,-2097499.94226546,"Unk",1,1
"10/09/2003",2003,9,10,693387.226435168,-2093773.38212531,"Unk",0,0
"10/09/2003",2003,9,10,488861.282739034,-2127941.94108157,"Unk",0,0
"10/09/2003",2003,9,10,536059.577438141,-2139181.59863297,"Unk",0,0
"10/09/2003",2003,9,10,452039.918080155,-2090476.41591023,"Unk",0,0
"10/09/2003",2003,9,10,604011.732217708,-2146974.42786861,"Unk",0,0
"10/09/2003",2003,9,10,538737.494867878,-2111606.97210686,"Unk",0,0
"10/09/2003",2003,9,10,692717.747077734,-2051961.85603409,"Unk",0,0
"10/09/2003",2003,9,10,592965.322820044,-2072792.68802935,"Unk",0,0
"10/09/2003",2003,9,10,419570.169244599,-2130639.45889391,"Unk",0,0
"10/09/2003",2003,9,10,627778.249406621,-2052261.58023546,"Unk",0,0
"10/09/2003",2003,9,10,734225.467238651,-2079236.75835883,"Unk",0,0
"10/09/2003",2003,9,10,552461.821695278,-2051212.54553066,"Unk",0,0
"10/09/2003",2003,9,10,484844.406594429,-2086729.86339309,"Unk",0,0
"10/09/2003",2003,9,10,636816.220731982,-2137383.25342475,"Unk",0,0
"11/09/2003",2003,9,11,707499.991613791,-2067499.94402771,"Unk",1,1
"11/09/2003",2003,9,11,707499.991127625,-2057499.94455454,"Unk",1,1
"11/09/2003",2003,9,11,702499.991458811,-2057499.94399564,"Unk",1,1
"11/09/2003",2003,9,11,702499.990889313,-2067499.9441785,"Unk",1,1
"11/09/2003",2003,9,11,702499.990889313,-2067499.9441785,"Unk",1,1
"11/09/2003",2003,9,11,697499.991884011,-2067499.9441801,"Unk",1,1
"11/09/2003",2003,9,11,717499.990626044,-2057499.94382218,"Unk",1,1
"11/09/2003",2003,9,11,717499.990626044,-2057499.94382218,"Unk",1,1
"11/09/2003",2003,9,11,527021.60611278,-2095571.72733353,"Unk",0,0
"11/09/2003",2003,9,11,480492.790771107,-2045367.92360393,"Unk",0,0
"11/09/2003",2003,9,11,616062.360651523,-2034577.85235459,"Unk",0,0
"11/09/2003",2003,9,11,647193.150772211,-2155816.29180905,"Unk",0,0
"11/09/2003",2003,9,11,503589.828602585,-2080735.37936568,"Unk",0,0
"11/09/2003",2003,9,11,630121.42715764,-2161810.77583646,"Unk",0,0
"11/09/2003",2003,9,11,502250.869887717,-2116552.42142948,"Unk",0,0
"11/09/2003",2003,9,11,445345.124505814,-2044768.47520119,"Unk",0,0
"11/09/2003",2003,9,11,631460.385872508,-2053610.33914163,"Unk",0,0
"11/09/2003",2003,9,11,729204.372057895,-2100816.90085752,"Unk",0,0
"11/09/2003",2003,9,11,717488.483302797,-2149971.66988232,"Unk",0,0
"11/09/2003",2003,9,11,541080.672618898,-2121198.14655073,"Unk",0,0
"11/09/2003",2003,9,11,523674.20932561,-2120748.56024867,"Unk",0,0
"11/09/2003",2003,9,11,706776.813583851,-2055558.54645054,"Unk",0,0
"11/09/2003",2003,9,11,739916.041776841,-2047615.85511421,"Unk",0,0
"11/09/2003",2003,9,11,677654.461535465,-2127642.2168802,"Unk",0,0
"21/09/2003",2003,9,21,702499.991468827,-2082499.94285013,"Unk",1,1
"21/09/2003",2003,9,21,724183.276877139,-2110258.2132007,"Unk",0,0
"21/09/2003",2003,9,21,441662.988039926,-2097669.79674313,"Unk",0,0
"28/09/2003",2003,9,28,702499.991897683,-2077499.94351712,"LPS",1,1
"28/09/2003",2003,9,28,716819.003945363,-2111756.83420755,"LPS",0,0
"28/09/2003",2003,9,28,536729.056795576,-2079536.4825602,"LPS",0,0
"13/10/2003",2003,10,13,682499.991932775,-2087499.94321856,"Unk",1,1
"13/10/2003",2003,10,13,656900.601455006,-2152669.18769465,"Unk",0,0
"13/10/2003",2003,10,13,530034.263221234,-2065449.44509577,"Unk",0,0
"27/12/2003",2003,12,27,652499.993688879,-2112499.94206538,"Unk",1,1
"27/12/2003",2003,12,27,676650.242499314,-2115952.97302674,"Unk",0,0
"27/12/2003",2003,12,27,635142.522338396,-2039673.16377789,"Unk",0,0
"29/07/2004",2004,7,29,457500.001489748,-2097499.94290239,"ANP",1,1
"29/07/2004",2004,7,29,491873.939847487,-2145625.66896244,"ANP",0,0
"29/07/2004",2004,7,29,649871.068201948,-2099018.55564929,"ANP",0,0
"06/08/2004",2004,8,6,532499.998448981,-2097499.94226546,"ANP",1,1
"06/08/2004",2004,8,6,508610.923783341,-2097819.65884381,"ANP",0,0
"06/08/2004",2004,8,6,494886.596955941,-2088228.48439995,"ANP",0,0
"30/08/2004",2004,8,30,627499.994903249,-2122499.94257308,"LPS",1,1
"30/08/2004",2004,8,30,663930.134708065,-2100517.17665615,"LPS",0,0
"30/08/2004",2004,8,30,706442.073905134,-2062152.47888069,"LPS",0,0
"16/10/2004",2004,10,16,442500.001970252,-2102499.94265049,"ANS",1,1
"16/10/2004",2004,10,16,530369.002899951,-2091975.03691708,"ANS",0,0
"16/10/2004",2004,10,16,477480.133662653,-2063501.23778686,"ANS",0,0
"21/10/2004",2004,10,21,712499.990645925,-2057499.94455497,"Unk",1,1
"21/10/2004",2004,10,21,712499.990645925,-2057499.94455497,"Unk",1,1
"21/10/2004",2004,10,21,702499.991458811,-2057499.94399564,"Unk",1,1
"21/10/2004",2004,10,21,697499.992070689,-2057499.94416723,"Unk",1,1
"21/10/2004",2004,10,21,463755.806835253,-2097969.5209445,"Unk",0,0
"21/10/2004",2004,10,21,489196.022417751,-2102914.97026711,"Unk",0,0
"21/10/2004",2004,10,21,603007.513181557,-2033229.09344842,"Unk",0,0
"21/10/2004",2004,10,21,647862.630129645,-2048215.30351695,"Unk",0,0
"21/10/2004",2004,10,21,674976.544105728,-2149671.94568095,"Unk",0,0
"21/10/2004",2004,10,21,596982.198964649,-2122247.18125553,"Unk",0,0
"21/10/2004",2004,10,21,683345.036073655,-2128990.97578637,"Unk",0,0
"21/10/2004",2004,10,21,558821.875590903,-2044468.75099982,"Unk",0,0
"26/10/2004",2004,10,26,699341.285518087,-2098499.27129519,"ANS",1,1
"26/10/2004",2004,10,26,702499.991458811,-2057499.94399564,"Unk",1,1
"26/10/2004",2004,10,26,711128.429407173,-2054959.0980478,"ANS",0,0
