"","x","y"
"1",607351.85605996,-2064850.70439905
"2",607924.03744123,-2064994.8916947
"3",608275.08662118,-2065029.99661263
"4",608659.99996753,-2065015.34364676
"5",608821.52896214,-2065089.63647227
"6",609453.41748608,-2065300.26597993
"7",609792.17827266,-2065355.23928765
"8",609688.92271331,-2065369.8935159
"9",609024.05644171,-2065679.12853736
"10",608477.50814457,-2066167.96226829
"11",608096.2961439,-2066794.34144112
"12",607913.21525164,-2067504.38006296
"13",607944.01550559,-2068236.99510646
"14",608054.61810512,-2068814.58324353
"15",608330.30704767,-2069568.70156264
"16",609058.87605433,-2070865.81733206
"17",609851.82411881,-2071721.64154741
"18",610645.57571295,-2072250.80927604
"19",611722.23936608,-2072651.37823107
"20",612780.57482497,-2072783.67016322
"21",613704.19791105,-2072726.52107025
"22",614543.75714386,-2072337.3091504
"23",615469.80067041,-2071675.84948954
"24",615759.40116936,-2071434.0031089
"25",617941.35735527,-2069312.65682031
"26",619754.89006541,-2068201.13677392
"27",620188.84951077,-2067864.38462706
"28",622139.19254957,-2065973.14289566
"29",623973.62582247,-2064941.27418148
"30",624134.72321381,-2064842.46107478
"31",625722.22640281,-2063784.12561742
"32",626048.32517446,-2063525.0290979
"33",632499.35027927,-2057457.23321994
"34",637331.36067519,-2054793.43262357
"35",641313.80694892,-2052834.8524944
"36",641816.50484276,-2052507.40386548
"37",645955.71156339,-2049037.77471374
"38",645998.17024309,-2049453.99009693
"39",646326.70772905,-2050183.58641185
"40",646868.92402131,-2050772.0158085
"41",647569.27468569,-2051158.99979955
"42",648356.01606207,-2051304.89588971
"43",649148.5546581,-2051194.75853806
"44",649865.70311643,-2050839.87017371
"45",650328.72488087,-2050509.14034325
"46",650819.52221187,-2050046.83743107
"47",651168.92668835,-2049470.18977908
"48",651205.57448686,-2049385.75565964
"49",651753.9274586,-2049577.67919882
"50",652688.39657731,-2049715.67370255
"51",654209.75380438,-2049649.52773629
"52",654220.07361718,-2049649.05768471
"53",655609.13891177,-2049582.91171845
"54",656096.56509841,-2049511.09762516
"55",656879.23289539,-2049315.43067684
"56",656880.67378056,-2049322.25151872
"57",657049.31937137,-2049824.3958309
"58",656911.05155264,-2050145.95834654
"59",656827.86362754,-2050866.4419578
"60",656954.98384888,-2051580.4848937
"61",657351.85964785,-2052771.11228307
"62",657788.5302818,-2053563.46088072
"63",658052.32924025,-2053885.94183074
"64",657965.08572417,-2054230.71255164
"65",657991.14041617,-2054939.32783985
"66",658202.567589,-2055574.45928845
"67",658146.30971769,-2055723.01009734
"68",658086.58460917,-2056404.87470215
"69",658152.73057585,-2057727.79402376
"70",658224.2551736,-2058209.28904677
"71",658488.83903973,-2059267.62450404
"72",658775.99964325,-2059956.70790916
"73",659253.81790158,-2060530.28167374
"74",659879.68793405,-2060937.20163378
"75",660607.29356551,-2061267.93146407
"76",660787.44326807,-2061341.49882844
"77",661515.04889964,-2061606.08269264
"78",662206.45038941,-2061751.2825366
"79",662910.86540229,-2061697.25935287
"80",663572.04002992,-2061448.32738119
"81",664137.1734997,-2061024.36609041
"82",664666.34123168,-2060495.19836167
"83",665144.7522902,-2059825.01254609
"84",665379.48855403,-2059035.75653264
"85",665499.00004987,-2058074.11653895
"86",665515.70207213,-2057656.64537368
"87",665467.66484584,-2056557.39739837
"88",665550.22024922,-2055026.85603901
"89",665540.94963116,-2054638.56995074
"90",665391.11274259,-2053169.29604607
"91",665371.09770189,-2052829.04035738
"92",665545.42295305,-2052538.49827392
"93",666386.13635947,-2051697.78487288
"94",666845.88572056,-2051064.99416767
"95",667087.59026348,-2050321.10407798
"96",667087.5902633,-2049538.93174938
"97",666845.88572004,-2048795.0416598
"98",666386.13635866,-2048162.2509548
"99",666253.84442555,-2048029.95902266
"100",666025.94585225,-2047868.69875816
"101",678380.00141801,-2048000.57085146
"102",678923.64376168,-2048840.74537242
"103",679390.03005835,-2049375.9782308
"104",679988.06179705,-2049758.53336397
"105",680108.21945978,-2049813.15048271
"106",680229.33039372,-2049981.89316003
"107",680721.49165858,-2050494.42943164
"108",681273.15287424,-2050925.30323758
"109",681716.88137317,-2051319.7285648
"110",682207.07322153,-2051850.61057665
"111",682766.7401408,-2052303.8323416
"112",683432.38230801,-2052578.70964872
"113",683941.82068312,-2052707.20992283
"114",684161.8207161,-2053159.57964797
"115",684589.42566161,-2053652.61228737
"116",685130.06655903,-2054018.17294303
"117",686056.11009713,-2054481.19470525
"118",686251.34541567,-2054547.04379587
"119",686187.06317618,-2054729.17680533
"120",685544.41989357,-2055647.23862532
"121",684469.04056918,-2056842.1045256
"122",683712.66675435,-2056698.03332484
"123",681158.23962369,-2054980.68372474
"124",680528.15468102,-2054675.23758302
"125",679838.07601144,-2054556.51180551
"126",679142.13939006,-2054633.82027522
"127",678494.94014072,-2054901.09824312
"128",677902.01859626,-2055250.21395761
"129",677355.26020552,-2055685.50959164
"130",676950.35836245,-2056255.14238943
"131",676718.95546759,-2056914.59650239
"132",676623.10186781,-2057394.2457774
"133",676423.59391082,-2057532.50226054
"134",675820.76760238,-2058123.73698982
"135",675449.14448417,-2058881.92847044
"136",675351.116828,-2059720.58730566
"137",675537.8669711,-2060544.04492285
"138",675988.09171025,-2061258.36680235
"139",676650.43242813,-2061782.06789715
"140",677378.03806294,-2062178.94369343
"141",678063.45631047,-2062431.27458662
"142",678792.55176649,-2062474.73571545
"143",679481.72055145,-2062310.70425383
"144",679397.76914959,-2062911.20140416
"145",679384.8295505,-2063493.07960618
"146",679525.89781945,-2064982.45089026
"147",679602.95870216,-2065404.90955732
"148",679882.08786367,-2066427.71199169
"149",679826.18077894,-2066712.45392302
"150",679779.71451954,-2067150.98925517
"151",679760.55695686,-2068261.38669594
"152",679354.14528725,-2068669.55579709
"153",679018.62723537,-2069276.64337572
"154",678790.51131254,-2069872.33899243
"155",678632.12502697,-2070580.20286142
"156",678683.61732012,-2071303.7400175
"157",678940.65330322,-2071982.03934366
"158",679234.91519334,-2072510.82515033
"159",679749.17850357,-2073155.32891895
"160",680445.12721462,-2073597.49093858
"161",681247.05860238,-2073789.2144618
"162",682209.57008322,-2073855.74234947
"163",683127.5984602,-2073747.9069932
"164",683943.69404555,-2073313.86487474
"165",684605.15371439,-2072784.69714588
"166",684744.54384413,-2072664.50885258
"167",685670.58738075,-2071804.61129319
"168",686253.98851034,-2070987.97372923
"169",686782.15491873,-2069799.59932459
"170",688103.0838829,-2066843.23453627
"171",688921.34265665,-2065513.56404607
"172",689475.42875162,-2064959.47795855
"173",689660.84832423,-2064885.31013052
"174",689774.64651213,-2065018.38598226
"175",689813.5005941,-2065424.16810511
"176",690105.99029826,-2066119.3012316
"177",690939.13466602,-2067479.13756727
"178",691229.47942513,-2068653.86206939
"179",691541.0421232,-2069386.32426688
"180",691907.72625318,-2069802.78144372
"181",691850.4771471,-2069835.15750406
"182",691345.00782051,-2070364.57121661
"183",691014.5397756,-2071017.69370931
"184",690887.40221999,-2071738.53638363
"185",690875.71318138,-2072161.08208454
"186",689567.97737703,-2071390.35300356
"187",689089.194926,-2071172.41954997
"188",688493.88122239,-2070973.98165195
"189",687727.03423601,-2070845.80245403
"190",686957.89287738,-2070959.40605317
"191",686260.8465552,-2071303.80499633
"192",685703.31182846,-2071845.68988795
"193",685504.87392748,-2072110.27375236
"194",685119.69744594,-2072861.31902821
"195",685006.40434086,-2073697.7367472
"196",685010.3609868,-2073810.76238714
"197",684773.24791002,-2074004.65427059
"198",684365.24689299,-2074611.78659974
"199",683410.28480383,-2076614.87778548
"200",683230.5237688,-2076834.88382556
"201",682933.83765681,-2077136.77495323
"202",682463.63831949,-2077806.15830342
"203",682234.68730327,-2078591.48811854
"204",682271.49744054,-2079408.68240397
"205",682570.12762311,-2080170.24756888
"206",682767.18933747,-2080500.45908549
"207",683010.00883886,-2080986.09808117
"208",683013.39487883,-2080990.74406148
"209",682419.38566575,-2080996.49197945
"210",681722.21429647,-2081214.36530914
"211",680898.78467121,-2081611.62302781
"212",680280.29221393,-2082034.70272834
"213",679814.96595539,-2082622.07043757
"214",679544.61299204,-2083320.95428194
"215",679483.80543798,-2083594.58827236
"216",678843.2391729,-2083742.41125512
"217",678007.97257125,-2084105.41305104
"218",677358.15765547,-2084743.52054582
"219",676980.03168531,-2085572.05017737
"220",676781.59378509,-2086365.8017704
"221",676736.02079069,-2087352.28380432
"222",676868.31272465,-2088212.18136336
"223",677026.18605132,-2088769.43056072
"224",676940.29706406,-2088894.06040916
"225",676719.35705974,-2089699.95001282
"226",676695.52297891,-2089938.2908192
"227",676412.32445521,-2090545.14479226
"228",676267.14266535,-2090939.92616838
"229",675997.53292737,-2091921.05574826
"230",675962.1315033,-2091902.43352
"231",675234.52586902,-2091703.99562195
"232",674554.98662014,-2091615.99975414
"233",673877.08097002,-2091715.80352684
"234",673251.73502019,-2091995.90941136
"235",672722.56728643,-2092326.63924189
"236",672149.42312901,-2092819.65656523
"237",672062.90965463,-2092920.58895109
"238",672058.31999236,-2092920.84570062
"239",671185.24254706,-2092969.686379
"240",670294.48825576,-2092264.29824196
"241",669774.18399166,-2091947.01563153
"242",669192.5724815,-2091765.04631166
"243",667155.48476744,-2091392.17719691
"244",666705.36232808,-2091351.32131428
"245",665051.71316365,-2091351.32131459
"246",664327.2527959,-2091458.59124731
"247",663751.2725808,-2091730.45685916
"248",663116.17709094,-2091435.73396487
"249",662123.98759312,-2091171.15010069
"250",661068.83350492,-2091120.75264091
"251",660275.08190688,-2091253.04457321
"252",659084.45450999,-2091451.48247166
"253",658510.65373435,-2091619.60470456
"254",657584.61020371,-2092016.4805012
"255",657283.16906215,-2092170.61076084
"256",656290.97956524,-2092765.92445572
"257",655969.23259126,-2093030.66318972
"258",655520.12352987,-2093129.1941194
"259",655449.52266042,-2093145.76018312
"260",654852.45725231,-2093295.02653444
"261",654260.74482713,-2093344.33590302
"262",653590.5624081,-2093494.87267254
"263",652986.64387614,-2093822.11600784
"264",652379.41759073,-2094268.94909397
"265",652147.47687946,-2094462.26271723
"266",651497.92980306,-2095073.7650886
"267",651163.50536603,-2095460.37989079
"268",650959.83466435,-2095751.3380347
"269",650247.4565851,-2095617.62922276
"270",649637.92704046,-2095579.12882653
"271",649037.2511466,-2095689.56893173
"272",648904.52512261,-2095731.24969021
"273",648787.41440528,-2095695.21562351
"274",647931.88104792,-2095587.56014455
"275",647090.66132799,-2095776.97083723
"276",646328.7778562,-2096094.42228256
"277",645501.10293211,-2096412.75879068
"278",644630.78367789,-2096978.35585101
"279",643837.03208185,-2097772.10744409
"280",643696.96118728,-2097966.44542851
"281",643054.53494615,-2097784.82889023
"282",642270.23214308,-2097816.02833799
"283",641608.77247995,-2097948.32027021
"284",641597.28221311,-2097952.68303408
"285",641373.89034689,-2097813.99636722
"286",640712.43068388,-2097549.41250291
"287",640052.63120938,-2097385.08365096
"288",639372.95652851,-2097404.61942145
"289",638579.204933,-2097536.91135368
"290",637894.78585357,-2097755.6617321
"291",637300.85364997,-2098160.04489431
"292",636864.40851616,-2098694.68251237
"293",636664.49003534,-2098743.32475029
"294",636039.39949207,-2099109.05959513
"295",635377.93982929,-2099638.22732385
"296",635257.99546302,-2099740.54916382
"297",634530.38983403,-2100402.00882471
"298",634227.86754155,-2100769.57044318
"299",634222.71824178,-2100771.92505318
"300",633635.15850862,-2101323.85538333
"301",633574.76159357,-2101333.58662703
"302",632869.01328937,-2101700.33060259
"303",632232.1179179,-2102173.53240716
"304",631802.49531431,-2102579.86012271
"305",631608.70188368,-2102812.42431692
"306",631069.11148286,-2103116.36358002
"307",630197.27151789,-2103328.41455884
"308",629884.98018118,-2103426.42170484
"309",628486.00035929,-2103968.40196196
"310",628369.94793478,-2104037.24849776
"311",628190.23576296,-2103857.53632635
"312",627698.62988602,-2103475.5561071
"313",627127.88462054,-2103226.88952699
"314",626003.40319474,-2102896.15969661
"315",625919.52932425,-2102873.0686256
"316",625111.12513199,-2102665.57074944
"317",624268.02017001,-2102596.91296436
"318",623632.09243894,-2102653.49483998
"319",623451.01665703,-2102431.95698137
"320",622839.1018243,-2101889.28773364
"321",621893.73464275,-2101363.66319607
"322",621050.43821893,-2101112.58085082
"323",620231.46165309,-2101010.86271585
"324",619423.9900641,-2101181.32921512
"325",618716.01449592,-2101605.40443162
"326",617871.80180443,-2102324.44087027
"327",617392.49811115,-2102871.71246497
"328",617091.04633179,-2103533.80388878
"329",616887.70583751,-2104237.65748186
"330",616804.54851014,-2105205.53338549
"331",617096.59654016,-2106132.03587015
"332",617548.83603015,-2106958.10868533
"333",617937.85161169,-2107488.50144495
"334",618451.73849459,-2107899.07406181
"335",618677.87494831,-2107997.42301875
"336",618660.62609447,-2108608.90966183
"337",618466.19019436,-2108728.01537091
"338",617901.46348901,-2109236.26940486
"339",617698.91680316,-2109383.57608524
"340",617015.12377297,-2109536.01166774
"341",615977.49857411,-2110039.99070241
"342",615475.47975463,-2110450.08184519
"343",615346.77605464,-2110512.69578866
"344",615007.96798127,-2110544.79973755
"345",614029.6902356,-2110848.25993731
"346",612760.43743211,-2111553.40263332
"347",612447.60521793,-2111759.28752465
"348",611778.32821417,-2112275.55126151
"349",611164.30601651,-2112705.36679924
"350",610830.19492427,-2112985.67964732
"351",610827.07384993,-2112988.80072165
"352",610419.05736774,-2113045.84485499
"353",610054.42384742,-2113124.93711837
"354",608847.51104124,-2113482.85152433
"355",608731.49844736,-2113532.87883939
"356",608718.15187068,-2113529.06380396
"357",608467.20510322,-2113541.08237344
"358",608122.86752672,-2113389.40787206
"359",607347.2256698,-2113191.47842986
"360",606657.12674146,-2113114.88830357
"361",605972.57807744,-2113231.05931946
"362",605425.10659124,-2113493.31901046
"363",604790.4230672,-2113070.19666162
"364",603850.88617273,-2112690.6476229
"365",603123.2805449,-2112558.35569075
"366",602425.67140233,-2112530.60165915
"367",601747.59026006,-2112696.83873852
"368",601582.01413941,-2112763.0691867
"369",601320.53434654,-2112752.4911856
"370",600559.3417872,-2112839.17942541
"371",599860.14200621,-2113152.30660338
"372",599412.09903522,-2113552.22875282
"373",599164.79084007,-2113462.29850015
"374",599101.00259759,-2113440.07381384
"375",598505.68890217,-2113241.63591558
"376",598221.96737698,-2113199.6204794
"377",598209.45044395,-2112525.81291673
"378",598018.17930847,-2111612.16154092
"379",597505.09695835,-2110832.3602933
"380",597141.30915051,-2110457.00377342
"381",596927.45080535,-2109922.3579111
"382",596835.52217991,-2109759.09304958
"383",596944.89639026,-2109048.16068307
"384",596850.19829358,-2107891.14866348
"385",596291.13538125,-2106181.12727573
"386",596092.15650425,-2105729.34970036
"387",595526.73799193,-2104727.38647866
"388",595452.43190934,-2104604.13913331
"389",595017.79797568,-2103928.04190389
"390",594629.61219377,-2102812.00778205
"391",594196.58555809,-2100956.17934537
"392",594195.52545456,-2100951.65505003
"393",593930.94158993,-2099827.17362659
"394",593857.04455989,-2099573.89589892
"395",593394.02279683,-2098250.97657726
"396",593311.00917622,-2098043.92209668
"397",593109.20183036,-2097599.12828264
"398",592922.72628407,-2096599.12126324
"399",592788.13982753,-2096294.24814303
"400",592799.21582219,-2095820.9973624
"401",592635.01504772,-2095168.53281601
"402",592302.76399322,-2094583.48485608
"403",592145.12757024,-2094376.74987404
"404",591957.73657404,-2093312.36457462
"405",591699.52427855,-2092657.88075996
"406",591735.43068199,-2091932.58914081
"407",591382.75890456,-2089648.33779871
"408",591256.75240651,-2087260.88502836
"409",591530.10460451,-2084492.85447341
"410",592148.93929993,-2082177.26804371
"411",593449.43593062,-2079240.74061271
"412",594897.56159609,-2076927.85468566
"413",595932.46290195,-2076011.87333637
"414",596319.23504226,-2075579.70766664
"415",597923.73640654,-2073302.35185992
"416",598721.54884661,-2072509.29934489
"417",602451.3411674,-2070084.15834569
"418",602650.30137968,-2069940.42060517
"419",604303.95053374,-2068617.50128351
"420",604563.53884277,-2068377.86301587
"421",605620.32910458,-2067253.9380157
"422",605834.68525219,-2066992.61013396
"423",607336.02991263,-2064886.5957737
"424",607351.85605996,-2064850.70439905
